pokedexNumber,pokemon,form,originRegionToCatchIn,originGamesToCatchIn,notes
1,Bulbasaur,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,
2,Ivysaur,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,
3,Venusaur,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,
3,Venusaur,Female,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,
4,Charmander,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,
5,Charmeleon,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,
6,Charizard,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,
7,Squirtle,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,
8,Wartortle,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,
9,Blastoise,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,
10,Caterpie,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,
11,Metapod,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,
12,Butterfree,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,
12,Butterfree,Female,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,
13,Weedle,,Kanto,Red/Blue/LG: Pikachu/LG: Eevee,
14,Kakuna,,Kanto,Red/Blue/LG: Pikachu/LG: Eevee,
15,Beedrill,,Kanto,Red/Blue/LG: Pikachu/LG: Eevee,
16,Pidgey,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,
17,Pidgeotto,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,
18,Pidgeot,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,
19,Rattata,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,
19,Rattata,Female,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,
19,Rattata,Alolan,Alola,Sun/Moon/Ultra Sun/Ultra Moon,
20,Raticate,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,
20,Raticate,Female,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,
20,Raticate,Alolan,Alola,Sun/Moon/Ultra Sun/Ultra Moon,
21,Spearow,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,
22,Fearow,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,
23,Ekans,,Kanto,Red/Blue/LG: Eevee,
24,Arbok,,Kanto,Red/Blue/LG: Eevee,
25,Pikachu,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,Catch 2 (one for Alola)
25,Pikachu,Female,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,
25,Pikachu,Original Cap,Alola,Sun/Moon/Ultra Sun/Ultra Moon,
25,Pikachu,Hoenn Cap,Alola,Sun/Moon/Ultra Sun/Ultra Moon,
25,Pikachu,Sinnoh Cap,Alola,Sun/Moon/Ultra Sun/Ultra Moon,
25,Pikachu,Unova Cap,Alola,Sun/Moon/Ultra Sun/Ultra Moon,
25,Pikachu,Kalos Cap,Alola,Sun/Moon/Ultra Sun/Ultra Moon,
25,Pikachu,Alola Cap,Alola,Sun/Moon/Ultra Sun/Ultra Moon,
25,Pikachu,Partner Cap,Galar,Sword/Shield,
25,Pikachu,World Cap,Galar,Sword/Shield,
26,Raichu,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,
26,Raichu,Female,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,
26,Raichu,Alolan,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,
27,Sandshrew,,Kanto,Blue/Yellow/LG: Pikachu,
27,Sandshrew,Alolan,Alola,Moon/Ultra Moon,
28,Sandslash,,Kanto,Blue/Yellow/LG: Pikachu,
28,Sandslash,Alolan,Alola,Moon/Ultra Moon,
29,Nidoran♀,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,
30,Nidorina,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,
31,Nidoqueen,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,
32,Nidoran♂,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,
33,Nidorino,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,
34,Nidoking,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,
35,Clefairy,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,
36,Clefable,,Kanto,Red/Blue/Yellow/LG: Pikachu/LG: Eevee,
37,Vulpix,,Kanto,Blue/Yellow/LG: Eevee,
37,Vulpix,Alolan,Alola,Sun/Ultra Sun,
38,Ninetales,,Kanto,Blue/Yellow/LG: Eevee,
